Artikelnummer | NW-Katalogartikelnummer,(Kurz)Bezeichnung | BMEcat-Kurztext,EAN - EAN,Hersteller | Lieferant-Name 1,HTrstTllTr-ArtikTlNr. | WTrksnummTr LiTfTrant,Konditionsgruppe - (NW-KS),Ursprungsland - Ursprungsland,Zolltarifnummer - Zolltarifnummer,Preiseinheit - Preiseinheit Verkauf,Gebindemenge / BMEcat Verpackungsmenge,Katalogpreis / empf. VK - VK Brutto Preis ./. Rabatt,BMEcat Inhaltseinheit / Basismengeneinheit (BME),Versand-Kz. - KZ Versandkennzeichen NW,Preisdatum EK / Konditionsdatum,"Netto-Einkaufspreis (indiv., falls vorh.)",Kennzeichen Preis gepflegt
          3222533727,             unknown,"         1,32216E+12",                 nan,           Z333327.8,                ZH11,                  BR,            69475464,                   1,                  10,21.20,                 PCE,                   P,          2023-07-10,70.00,                  -1
          3222533723,             unknown,"         1,32216E+12",                 nan,           Z333327.3,                ZH11,                  BR,            69475464,                   1,                  10,27.80,                 PCE,                   P,          2023-07-10,70.80,                  -1
          3222533723,             unknown,"         1,32216E+12",                 nan,          Z333328.33,                ZH11,                  BR,            69475464,                   1,                  10,82.80,                 PCE,                   P,          2023-07-10,87.80,                  -1
          3222533732,             unknown,"         1,32216E+12",                 nan,           Z333328.1,                ZH11,                  BR,            69475464,                   1,                  10,60.81,                 PCE,                   P,          2023-07-10,78.10,                  -1
          3222533731,             unknown,"         1,32216E+12",                 nan,           Z333328.2,                ZH11,                  BR,            69475464,                   1,                  10,27.80,                 PCE,                   P,          2023-07-10,78.10,                  -1
          3222533732,             unknown,"         1,32216E+12",                 nan,           Z333328.3,                ZH11,                  BR,            69475464,                   1,                  10,22.20,                 PCE,                   P,          2023-07-10,78.90,                  -1
          3222533733,             unknown,"         1,32216E+12",                 nan,           Z333328.4,                ZH11,                  BR,            69475464,                   1,                  10,60.10,                 PCE,                   P,          2023-07-10,77.80,                  -1
          3222533736,             unknown,"         1,32216E+12",                 nan,           Z333328.5,                ZH11,                  BR,            69475464,                   1,                  10,60.61,                 PCE,                   P,          2023-07-10,71.70,                  -1
          3222533735,             unknown,"         1,32216E+12",                 nan,           Z333328.6,                ZH11,                  BR,            69475464,                   1,                  10,68.01,                 PCE,                   P,          2023-07-10,80.70,                  -1
          3222533736,             unknown,"         1,32216E+12",                 nan,           Z333328.7,                ZH11,                  BR,            69475464,                   1,                  10,68.80,                 PCE,                   P,          2023-07-10,81.10,                  -1
          3222533737,             unknown,"         1,32216E+12",                 nan,           Z333328.8,                ZH11,                  BR,            69475464,                   1,                  10,66.21,                 PCE,                   P,          2023-07-10,80.90,                  -1
          3222533733,             unknown,"         1,32216E+12",                 nan,           Z333328.3,                ZH11,                  BR,            69475464,                   1,                  10,68.80,                 PCE,                   P,          2023-07-10,88.80,                  -1
          3222533733,             unknown,"         1,32216E+12",                 nan,          Z333323.33,                ZH11,                  BR,            69475464,                   1,                  10,66.80,                 PCE,                   P,          2023-07-10,78.90,                  -1
