Artikelnummer | NW-Katalogartikelnummer,(Kurz)Bezeichnung | BMEcat-Kurztext,EAN - EAN,Hersteller | Lieferant-Name 1,HTrstTllTr-ArtikTlNr. | WTrksnummTr LiTfTrant,Konditionsgruppe - (NW-KS),Ursprungsland - Ursprungsland,Zolltarifnummer - Zolltarifnummer,Preiseinheit - Preiseinheit Verkauf,Gebindemenge / BMEcat Verpackungsmenge,Katalogpreis / empf. VK - VK Brutto Preis ./. Rabatt,BMEcat Inhaltseinheit / Basismengeneinheit (BME),Versand-Kz. - KZ Versandkennzeichen NW,Preisdatum EK / Konditionsdatum,"Netto-Einkaufspreis (indiv., falls vorh.)",Kennzeichen Preis gepflegt
3222666565,unknown,"1,32216E+12",,T6533M6,ZU21,BR,69474414,1,1,18.70,PCE,P,18/08/2023,16.81,-1
3222666566,unknown,"1,32216E+12",,T6533M8,ZU21,BR,69474414,1,1,68.80,PCE,P,18/08/2023,80.88,-1
3222666567,unknown,"1,32216E+12",,T6511/2,ZU21,BR,69474414,1,1,686.00,PCE,P,18/08/2023,68.08,-1
3222666563,unknown,"1,32216E+12",,T6511/4,ZU21,BR,69474414,1,1,78.60,PCE,P,18/08/2023,88.89,-1
3222666563,unknown,"1,32216E+12",,T651133-24,ZU21,BR,69474414,1,1,78.60,PCE,P,18/08/2023,88.17,-1
3222666552,unknown,"1,32216E+12",,T65112-24,ZU21,BR,69474414,1,1,78.60,PCE,P,18/08/2023,88.89,-1
3222666551,unknown,"1,32216E+12",,T6513/8,ZU21,BR,69474414,1,1,662.00,PCE,P,18/08/2023,88.88,-1
3222666552,unknown,"1,32216E+12",,T6515/16,ZU21,BR,69474414,1,1,606.00,PCE,P,18/08/2023,78.78,-1
3222666553,unknown,"1,32216E+12",,T6515/8,ZU21,BR,69474414,1,1,808.00,PCE,P,18/08/2023,88.88,-1
3222666556,unknown,"1,32216E+12",,T6516-32,ZU21,BR,69474414,1,1,78.20,PCE,P,18/08/2023,88.72,-1
3222666555,unknown,"1,32216E+12",,T6517/16,ZU21,BR,69474414,1,1,686.00,PCE,P,18/08/2023,68.08,-1
3222666556,unknown,"1,32216E+12",,T6518-32,ZU21,BR,69474414,1,1,72.80,PCE,P,18/08/2023,86.86,-1
3222666553,unknown,"1,32216E+12",,T6531,ZU21,US,69474414,1,1,280.00,PCE,P,18/08/2023,886.80,-1
3222666553,unknown,"1,32216E+12",,T6531/2,ZU21,US,69474414,1,1,688.00,PCE,P,18/08/2023,61.71,-1
3222666562,unknown,"1,32216E+12",,T6531/4,ZU21,US,69474414,1,1,60.20,PCE,P,18/08/2023,18.88,-1
3222666561,unknown,"1,32216E+12",,T6531/8,ZU21,US,69474414,1,1,81.60,PCE,P,18/08/2023,11.88,-1
3222666562,unknown,"1,32216E+12",,T6533/4,ZU21,US,69474414,1,1,626.00,PCE,P,18/08/2023,88.88,-1
3222666563,unknown,"1,32216E+12",,T6533/8,ZU21,US,69474414,1,1,20.10,PCE,P,18/08/2023,77.88,-1
3222666566,unknown,"1,32216E+12",,T6541/2,ZU21,BR,69474414,1,1,61.00,PCE,P,18/08/2023,88.88,-1
3222666565,unknown,"1,32216E+12",,T6541/4,ZU21,BR,69474414,1,1,26.81,PCE,P,18/08/2023,87.76,-1
3222666566,unknown,"1,32216E+12",,T654133-32,ZU21,BR,69474414,1,1,26.61,PCE,P,18/08/2023,87.79,-1
3222666567,unknown,"1,32216E+12",,T65412-28,ZU21,BR,69474414,1,1,26.61,PCE,P,18/08/2023,87.79,-1
3222666563,unknown,"1,32216E+12",,T6543/8,ZU21,BR,69474414,1,1,18.70,PCE,P,18/08/2023,16.81,-1
3222666563,unknown,"1,32216E+12",,T6545/16,ZU21,BR,69474414,1,1,86.80,PCE,P,18/08/2023,11.79,-1
3222666571,unknown,"1,32216E+12",,T6547/16,ZU21,BR,69474414,1,1,61.00,PCE,P,18/08/2023,88.88,-1
3222666572,unknown,"1,32216E+12",,T6548-36,ZU21,BR,69474414,1,1,28.60,PCE,P,18/08/2023,86.71,-1
3222666576,unknown,"1,32216E+12",,T73381/2,ZK30,BR,69474414,1,1,620.00,PCE,P,18/08/2023,78.00,-1
3222666575,unknown,"1,32216E+12",,T73381/4,ZK30,BR,69474414,1,1,66.80,PCE,P,18/08/2023,87.08,-1
3222666576,unknown,"1,32216E+12",,T73381/8,ZK30,BR,69474414,1,1,86.81,PCE,P,18/08/2023,17.78,-1
3222666577,unknown,"1,32216E+12",,T73383/4,ZK30,BR,69474414,1,1,628.00,PCE,P,18/08/2023,886.70,-1
3222666573,unknown,"1,32216E+12",,T73383/8,ZK30,BR,69474414,1,1,26.80,PCE,P,18/08/2023,88.08,-1
3222666573,unknown,"1,32216E+12",,T73331/2,ZK30,BR,69474414,1,1,628.00,PCE,P,18/08/2023,80.70,-1
3222666532,unknown,"1,32216E+12",,T73331/4,ZK30,BR,69474414,1,1,62.80,PCE,P,18/08/2023,88.18,-1
3222666531,unknown,"1,32216E+12",,T73331/8,ZK30,BR,69474414,1,1,87.71,PCE,P,18/08/2023,18.68,-1
3222666532,unknown,"1,32216E+12",,T73333/4,ZK30,BR,69474414,1,1,800.00,PCE,P,18/08/2023,810.00,-1
3222666533,unknown,"1,32216E+12",,T73333/8,ZK30,BR,69474414,1,1,28.80,PCE,P,18/08/2023,86.88,-1
3222666536,unknown,"1,32216E+12",,T71331,ZK30,BR,69474414,1,1,876.00,PCE,P,18/08/2023,868.60,-1
3222666535,unknown,"1,32216E+12",,T71331.1/2,ZK30,BR,69474414,1,1,686.00,PCE,P,18/08/2023,871.60,-1
3222666536,unknown,"1,32216E+12",,T71331.1/4,ZK30,BR,69474414,1,1,820.00,PCE,P,18/08/2023,187.00,-1
3222666537,unknown,"1,32216E+12",,T71331/16NO3,ZK30,BR,69474414,1,1,81.80,PCE,P,18/08/2023,17.81,-1
3222666533,unknown,"1,32216E+12",,T71331/2,ZK30,BR,69474414,1,1,666.00,PCE,P,18/08/2023,66.60,-1
3222666533,unknown,"1,32216E+12",,T71331/2NO7,ZK30,BR,69474414,1,1,886.00,PCE,P,18/08/2023,881.60,-1
3222666532,unknown,"1,32216E+12",,T71331/4,ZK30,BR,69474414,1,1,18.60,PCE,P,18/08/2023,88.86,-1
3222666531,unknown,"1,32216E+12",,T71331/4NO7,ZK30,BR,69474414,1,1,601.00,PCE,P,18/08/2023,68.00,-1
3222666532,unknown,"1,32216E+12",,T71331/8,ZK30,BR,69474414,1,1,22.21,PCE,P,18/08/2023,18.68,-1
3222666533,unknown,"1,32216E+12",,T71331/8NO7,ZK30,BR,69474414,1,1,78.80,PCE,P,18/08/2023,77.18,-1
3222666536,unknown,"1,32216E+12",,T71332,ZK30,BR,69474414,1,1,6080.00,PCE,P,18/08/2023,681.00,-1
3222666535,unknown,"1,32216E+12",,T71333/4,ZK30,BR,69474414,1,1,661.00,PCE,P,18/08/2023,88.00,-1
3222666536,unknown,"1,32216E+12",,T71333/4NO7,ZK30,BR,69474414,1,1,220.00,PCE,P,18/08/2023,888.00,-1
3222666537,unknown,"1,32216E+12",,T71333/8,ZK30,BR,69474414,1,1,78.80,PCE,P,18/08/2023,76.81,-1
3222666533,unknown,"1,32216E+12",,T71333/8NO7,ZK30,BR,69474414,1,1,616.00,PCE,P,18/08/2023,88.60,-1
3222666533,unknown,"1,32216E+12",,T7111,ZK30,BR,69474414,1,1,866.00,PCE,P,18/08/2023,176.60,-1
3222666621,unknown,"1,32216E+12",,T7111/2,ZK30,BR,69474414,1,1,688.00,PCE,P,18/08/2023,880.70,-1
3222666622,unknown,"1,32216E+12",,T7111/4,ZK30,BR,69474414,1,1,87.80,PCE,P,18/08/2023,81.68,-1
3222666623,unknown,"1,32216E+12",,T7111/8,ZK30,BR,69474414,1,1,61.70,PCE,P,18/08/2023,88.71,-1
3222666626,unknown,"1,32216E+12",,T7113/4,ZK30,BR,69474414,1,1,871.00,PCE,P,18/08/2023,868.00,-1
3222666625,unknown,"1,32216E+12",,T7113/8,ZK30,BR,69474414,1,1,620.00,PCE,P,18/08/2023,78.00,-1
